一人前
意地悪
意欲的
意気地
愛好家
感傷的
慣用句
慰謝料
成人病
戦利品
所得税
扇風機
手拍子
手数料
手料理
手羽先
技術者
抽象的
持久走
指人形
指導者
排気量
接骨院
掲示板
揮発油
摩天楼
改札口
改訂版
放物線
政治家
救世主
教職員
文房具
断末魔
新人類
新体操
新参者
新幹線
新聞紙
方法論
方眼紙
方程式
旅客機
日光浴
日射病
日曜日
日本酒
早合点
昆布茶
明太子
映画館
暗黒街
暴力団
更年期
最低限
最右翼
最小限
月刊誌
月桂樹
有頂天
朝寝坊
未成年
本拠地
朴念仁
松竹梅
松葉杖
果実酒
果樹園
染色体
核実験
格納庫
桃源郷
桧舞台
植民地
楕円形
標準語
横隔膜
機内食
機関車
歌舞伎
歌謡曲
歓楽街
正攻法
正義感
武勇伝
武芸者
歩道橋
歯科医
歳時記
殺風景
気苦労
水墨画
水平線
水族館
氷河期
永久歯
求心力
決定版
決断力
波止場
洗濯機
流線型
海水浴
海産物
海綿体
海賊版
消化器
消去法
消火器
消費税
深呼吸
深海魚
清涼剤
温度計
源氏名
滑走路
漢方薬
潔癖症
潜水艦
潤滑油
火炎瓶
炎天下
無一文
無尽蔵
無愛想
無所属
無条件
無機質
無添加
無礼講
無神経
無秩序
無精髭
無責任
無遠慮
無関心
無限大
無頼漢
無駄口
無駄骨
焼却炉
熱射病
熱帯夜
熱帯魚
熱気球
特効薬
牽引車
犠牲者
独裁者
猜疑心
献身的
猿真似
猿芝居
獅子舞
玉手箱
玉虫色
現地妻
理想像
甘味料
甘納豆
生意気
生放送
生理的
画期的
留置場
発動機
発情期
発電所
白装束
百分率
皆勤賞
皇太子
皮算用
盲導犬
相対的
看板娘
真面目
真骨頂
睡眠薬
瞬発力
確信犯
社会面
神無月
神通力
禁煙席
私小説
私生活
秋刀魚
秋田犬
科学者
積乱雲
積極的
空手形
突破口
竜宮城
第六感
等身大
管理人
紀元前
紅一点
紙一重
紙吹雪
紙芝居
終止符
経済力
経験者
結婚式
絞首刑
給料日
絵空事
絵葉書
緊張感
緊迫感
総動員
総選挙
繁華街
罪悪感
美少年
義勇軍
老婆心
耳鼻科
肉体美
股関節
胸算用
脳天気
腕時計
腕相撲
腰巾着
腹話術
膝小僧
臨場感
自叙伝
自堕落
自殺点
自由形
自警団
自転車
致命傷
致死量
興信所
良心的
色鉛筆
花粉症
若旦那
茶番劇
荒療治
落武者
著作権
薄化粧
薬剤師
蝋人形
蟻地獄
血液型
衆議院
行進曲
街路樹
衝動的
衝撃波
衣食住
被害者
被疑者
裁判官
裁判所
要注意
規格外
視聴率
親不孝
親馬鹿
観光客
角砂糖
解毒剤
計画的
記念日
試供品
試写会
試験管
誕生日
誕生石
請求書
警備員
警戒心
警視庁
豪速球
貧乏神
賛美歌
賽銭箱
赤血球
赤裸々
走馬灯
超特急
車椅子
軟着陸
軽音楽
農作物
近似的
近未来
逆探知
進化論
運動会
過保護
過半数
道化師
道案内
違和感
遠距離
遠近法
適齢期
選択肢
遺伝子
遺失物
遺留品
配偶者
酸性雨
醍醐味
重点的
野放図
野暮用
野良猫
金字塔
鉄条網
鉄砲玉
銀世界
銀河系
錬金術
鎮魂歌
間一髪
間接的
阿修羅
陶磁器
集客力
雨模様
雪達磨
震源地
霊安室
青二才
青大将
青海原
青海苔
非公開
領収書
頭文字
顕微鏡
類人猿
風呂敷
風来坊
風邪薬
飛行場
飛行船
飛距離
食中毒
飲食店
首都圏
香辛料
馬鈴薯
駄菓子
駐車場
骨董品
高気圧
高飛車
魔術師
